timestamp,open,high,low,close,volume
1700000000,100.0,101.0,99.0,100.0,1000
1700000060,100.0,102.0,100.0,101.0,1200
1700000120,101.0,103.0,101.0,102.0,1500
1700000180,102.0,104.0,102.0,103.0,1100
1700000240,103.0,105.0,103.0,104.0,1300
1700000300,104.0,106.0,104.0,105.0,1600
1700000360,105.0,106.0,102.0,103.0,2000
1700000420,103.0,104.0,101.0,102.0,1800
1700000480,102.0,103.0,100.0,101.0,1500
1700000540,101.0,102.0,99.0,100.0,1200
1700000600,100.0,101.0,98.0,99.0,1100
1700000660,99.0,100.0,97.0,98.0,1400
1700000720,98.0,99.0,96.0,97.0,1300
